date,nav
2018-01-30,999000.4280277208
2018-02-01,980729.4817477188
2018-03-01,996250.1362780586
2018-04-02,1014776.1429998875
2018-05-02,1002119.4396435827
2018-06-01,1008501.5595400212
2018-07-02,933520.529534255
2018-08-01,951504.3394920335
2018-09-03,931941.5804573288
2018-10-08,928498.0678842411
2018-11-01,895639.3661231122
2018-12-03,948821.2495275575
2019-01-02,862694.8126742592
2019-02-01,946071.8538605281
2019-03-01,1174498.7984747007
2019-04-01,1278106.7035058162
2019-05-06,1143382.865402628
2019-06-03,1162069.661258724
2019-07-01,1261349.6568954764
2019-08-01,1223816.9836919631
2019-09-02,1336058.104269713
2019-10-08,1286924.7337847333
2019-11-01,1318514.782355764
2019-12-02,1338905.7575049321
2020-01-02,1527209.2405798065
2020-02-03,1455441.3658760556
2020-03-02,1729567.1520832186
2020-04-01,1481160.4053777587
2020-05-06,1694652.9608743258
2020-06-01,1749026.4240368423
2020-07-01,1898799.817262482
2020-08-03,2306819.9030007543
2020-09-01,2223263.887957366
2020-10-09,2168687.087638453
2020-11-02,2139858.58271677
2020-12-01,2338445.1822370538
2021-01-04,2568152.257027697
2021-02-01,2559874.2933140583
2021-03-01,2547494.0506232497
2021-04-01,2399473.6610934185
2021-05-06,2569127.9695971617
2021-06-01,2838441.5702664345
2021-07-01,2838130.23428289
2021-08-02,2944859.7283530883
2021-09-01,3009918.2087578885
2021-10-08,2930995.592511307
2021-11-01,2936217.9156666263
2021-12-01,2954752.869944232
2022-01-04,2892565.6554444702
2022-02-07,2618024.0526174074
2022-03-01,2692511.370014341
2022-04-01,2455945.1094047856
2022-05-05,2272722.9119764064
2022-06-01,2444981.444415707
2022-07-01,2615454.934540027
2022-08-01,2566395.1727775414
2022-09-01,2513293.552318996
2022-10-10,2355618.3434556457
2022-11-01,2415136.6154408595
2022-12-01,2539630.168772229
