date,nav
2018-01-30,999000.3800074256
2018-02-01,963165.7743139062
2018-03-01,1004196.0875294678
2018-04-02,1020950.2999036325
2018-05-02,993311.9255417871
2018-06-01,959097.8830932925
2018-07-02,880323.635349348
2018-08-01,879269.8800170516
2018-09-03,849367.4474190972
2018-10-08,804178.2778190997
2018-11-01,753891.4000650661
2018-12-03,793412.6635146755
2019-01-02,699745.6308751818
2019-02-01,785889.2456878033
2019-03-01,1002748.4028451948
2019-04-01,1111946.4107382302
2019-05-06,932333.9783283267
2019-06-03,951847.9069067742
2019-07-01,1031880.7437380378
2019-08-01,1006903.274864441
2019-09-02,1091514.4990961705
2019-10-08,1050620.829876408
2019-11-01,1062169.3447461003
2019-12-02,1067459.112533889
2020-01-02,1218121.8634975043
2020-02-03,1190152.259227014
2020-03-02,1427113.0164246443
2020-04-01,1218513.3690243948
2020-05-06,1409432.1611694943
2020-06-01,1455148.4248979285
2020-07-01,1554207.171097025
2020-08-03,1926416.5737072288
2020-09-01,1841759.9217821755
2020-10-09,1782907.461440182
2020-11-02,1728923.473733365
2020-12-01,1868610.0043589135
2021-01-04,2165475.849284542
2021-02-01,2172473.4089861023
2021-03-01,2168511.291955267
2021-04-01,1934873.063619574
2021-05-06,2111302.8011788507
2021-06-01,2338743.195572981
2021-07-01,2484749.739966694
2021-08-02,2627971.892813762
2021-09-01,2769344.341604122
2021-10-08,2684500.76210594
2021-11-01,2779745.229385554
2021-12-01,2786404.5606629765
2022-01-04,2694140.1392704393
2022-02-07,2468807.611141053
2022-03-01,2571481.3025625525
2022-04-01,2260577.5538959065
2022-05-05,2111806.6600254835
2022-06-01,2303139.6767617636
2022-07-01,2522218.4471091167
2022-08-01,2506431.0384449153
2022-09-01,2381877.650604697
2022-10-10,2148093.227969518
2022-11-01,2336444.566494286
2022-12-01,2487555.5734413182
