window,train_start,train_end,test_start,test_end,test_ic,test_mse,n_train,n_test
0,2018-01-02,2020-02-03,2020-02-04,2020-05-06,0.00034520816214398786,0.0035377809416799063,79616,10962
1,2018-04-10,2020-05-06,2020-05-07,2020-08-05,0.0033915483723249173,0.005196407046981826,83719,10962
2,2018-07-11,2020-08-05,2020-08-06,2020-11-10,-0.024139578193718446,0.002728111753906948,84574,10962
3,2018-10-16,2020-11-10,2020-11-11,2021-02-08,0.002688478935821491,0.004401964422325068,85272,10962
4,2019-01-15,2021-02-08,2021-02-09,2021-05-19,-0.040082486216959076,0.0037770127694966315,85945,10962
5,2019-04-22,2021-05-19,2021-05-20,2021-08-17,0.03947821170648116,0.0036499001257798993,86575,10962
6,2019-07-24,2021-08-17,2021-08-18,2021-11-23,0.027337883447228123,0.004372106074932957,87177,10962
7,2019-10-29,2021-11-23,2021-11-24,2022-02-28,-0.0430285524743426,0.002411623624453079,87548,10962
8,2020-02-04,2022-02-28,2022-03-01,2022-06-02,0.006923058917593913,0.003611379917917911,87696,10962
9,2020-05-07,2022-06-02,2022-06-06,2022-08-31,0.004865094349289017,0.0023879991991703955,87696,10962
10,2020-08-06,2022-08-31,2022-09-01,2022-12-06,-0.013212087954027495,0.0027784828742131004,87696,10962
