window,train_start,train_end,test_start,test_end,test_ic,test_mse,n_train,n_test
0,2018-01-02,2020-02-03,2020-02-04,2020-05-06,0.03890525801440666,0.0034767225179402122,79616,10962
1,2018-04-10,2020-05-06,2020-05-07,2020-08-05,0.06683749474612158,0.005162981709564937,83719,10962
2,2018-07-11,2020-08-05,2020-08-06,2020-11-10,-0.03989712308549329,0.00269356691846509,84574,10962
3,2018-10-16,2020-11-10,2020-11-11,2021-02-08,0.1111281846965751,0.00434485181732847,85272,10962
4,2019-01-15,2021-02-08,2021-02-09,2021-05-19,-0.03876535025185797,0.0037478841739503987,85945,10962
5,2019-04-22,2021-05-19,2021-05-20,2021-08-17,0.1079513758330046,0.003609237869891112,86575,10962
6,2019-07-24,2021-08-17,2021-08-18,2021-11-23,-0.005983706121319909,0.004372363706639733,87177,10962
7,2019-10-29,2021-11-23,2021-11-24,2022-02-28,-0.055782366028976994,0.0023568053988209667,87548,10962
8,2020-02-04,2022-02-28,2022-03-01,2022-06-02,0.030263648975595372,0.0035865971726773156,87696,10962
9,2020-05-07,2022-06-02,2022-06-06,2022-08-31,-0.003404744192919331,0.0023546012409329524,87696,10962
10,2020-08-06,2022-08-31,2022-09-01,2022-12-06,-0.0407779596785854,0.0027403485426490625,87696,10962
